channel,roi_prior_mu,n_points,roi_median,roi_mean,roi_min,roi_max,pct_change_median,contribution_median,contribution_value_mean,roi_range_over_sigma
google,1.0,3,0.3337632389987508,0.3748271130811837,0.2379463905841112,0.552771709660689,0.0,162864902.0956535,162864902.0956535,0.3148253190765778
google,1.5,3,0.5486645335269471,0.6121195023858713,0.3942245248208443,0.8934694488098224,64.38734690281473,226017832.4198195,252157583.83689702,0.4992449239889781
google,2.0,3,0.7756101331114769,0.8579836225675211,0.5607471702496211,1.2375935643414655,132.38333120154664,319506201.6526241,353439281.7007033,0.6768463940918444
google,2.5,3,1.015544858550032,1.119348988789651,0.7395887425045172,1.602913365314404,204.2710340409397,418345334.2228785,461106590.1075384,0.8633246228098869
google,3.0,3,1.2611245102683704,1.3785371591978601,0.9181304202477136,1.9563565470774968,277.8500334703099,519509847.6478509,567877020.6435684,1.0382261268297832
google,3.5,3,1.516940189053615,1.6523352806849612,1.1053277114778757,2.334737941523393,354.4958856476379,624891008.0563285,680665900.1093735,1.2294102300455174
google,4.0,3,1.7739593103528022,1.9276951972643535,1.2975410076975822,2.711585273742676,431.50230554882694,730767916.6894903,794098148.1909233,1.4140442660450938
google,4.5,3,2.0381930856903394,2.2091292084753515,1.4976554242273172,3.0915391155083976,510.6703337984947,839616842.5896051,910032569.4924613,1.5938836912810803
google,5.0,3,2.3090834083159764,2.49546146152748,1.6940809559325378,3.483220020333926,591.832754033352,951207878.280898,1027984781.1484877,1.789139064401388
liveintent,0.5,3,0.3946212444804647,0.40216776370606055,0.3455168954621088,0.4663651511756082,-55.382452958291054,12596107.652795317,12836988.6745321,0.12084825571349939
liveintent,1.0,3,0.8844530249759555,0.8715331319820446,0.7687948021098661,0.9613515688603124,0.0,27612692.231667668,27612692.231667668,0.1925567667504463
liveintent,1.5,3,1.3678160001834234,1.3500111220259632,1.2223877376752594,1.4598296282192071,54.65106247113673,43659984.931143805,43091662.3556283,0.2374418905439477
liveintent,2.0,3,1.8645416222512723,1.8499859757100543,1.7273493890091778,1.9580669158697128,110.81296231667717,59515211.92913702,59050603.15970647,0.23071752686053504
liveintent,2.5,3,2.343354610775908,2.326144748147991,2.1758664048463108,2.4592132288217545,164.94958404824425,74798676.85498828,74249346.86988711,0.28334682397544375
liveintent,3.0,3,2.8341354441146054,2.8156418283780416,2.6608049918711187,2.9519850491484005,220.43934093522418,90464149.2468804,89873842.5212152,0.2911800572772818
