channel,estimated_roi,target_channel,roi_prior_mu,roi_prior_sigma,roi_prior_dist,baseline_mu,baseline_sigma,baseline_roi,baseline_run_id,baseline_qc_status,baseline_qc_pass,baseline_sign_flip_zone,baseline_local_neighbor_n,baseline_local_volatility_ratio,pct_metric_reliable,pct_metric_unstable_reason,pct_change_raw,baseline_roi_for_rank,pct_source_row,abs_pct_change_raw,abs_delta_roi,pct_change,abs_pct_change,prior_neg_prob,prior_guardrail_pass
meta,1.0020511,meta,0.020759,0.033445,LogNormal,0.051898,0.016722,1.0271761,,,True,False,4,0.9007452470905427,True,,-2.4460265381953343,1.0271761,fallback_baseline,2.4460265381953343,0.025124999999999842,-2.4460265381953343,2.4460265381953343,0.0,1.0
meta,1.0345627,meta,0.036328,0.006689,LogNormal,0.051898,0.016722,1.0271761,,,True,False,4,0.9007452470905427,True,,0.7191171990859232,1.0271761,fallback_baseline,0.7191171990859232,0.007386600000000021,0.7191171990859232,0.7191171990859232,0.0,1.0
meta,0.035704415,meta,0.036328,0.006689,LogNormal,0.051898,0.016722,1.0271761,,,True,False,4,0.9007452470905427,True,,-96.52402202504517,1.0271761,fallback_baseline,96.52402202504517,0.9914716849999999,-96.52402202504517,96.52402202504517,0.0,1.0
meta,0.0703549,meta,0.036328,0.006689,LogNormal,0.051898,0.016722,1.0271761,,,True,False,4,0.9007452470905427,True,,-93.15064865703165,1.0271761,fallback_baseline,93.15064865703165,0.9568211999999999,-93.15064865703165,93.15064865703165,0.0,1.0
meta,0.13445793,meta,0.036328,0.006689,LogNormal,0.051898,0.016722,1.0271761,,,True,False,4,0.9007452470905427,True,,-86.90994367956965,1.0271761,fallback_baseline,86.90994367956965,0.89271817,-86.90994367956965,86.90994367956965,0.0,1.0
meta,0.22733736,meta,0.036328,0.006689,LogNormal,0.051898,0.016722,1.0271761,,,True,False,4,0.9007452470905427,True,,-77.86773270912359,1.0271761,fallback_baseline,77.86773270912359,0.79983874,-77.86773270912359,77.86773270912359,0.0,1.0
meta,0.25036845,meta,0.036328,0.006689,LogNormal,0.051898,0.016722,1.0271761,,,True,False,4,0.9007452470905427,True,,-75.62555729246425,1.0271761,fallback_baseline,75.62555729246425,0.7768076499999998,-75.62555729246425,75.62555729246425,0.0,1.0
meta,0.3379933,meta,0.036328,0.006689,LogNormal,0.051898,0.016722,1.0271761,,,True,False,4,0.9007452470905427,True,,-67.09490222757324,1.0271761,fallback_baseline,67.09490222757324,0.6891828,-67.09490222757324,67.09490222757324,0.0,1.0
meta,1.1426027,meta,0.036328,0.006689,LogNormal,0.051898,0.016722,1.0271761,,,True,False,4,0.9007452470905427,True,,11.237274699051133,1.0271761,fallback_baseline,11.237274699051133,0.11542660000000016,11.237274699051133,11.237274699051133,0.0,1.0
meta,1.0294476,meta,0.036328,0.011706,LogNormal,0.051898,0.016722,1.0271761,,,True,False,4,0.9007452470905427,True,,0.22114026991087332,1.0271761,fallback_baseline,0.22114026991087332,0.002271499999999982,0.22114026991087332,0.22114026991087332,0.0,1.0
