channel,estimated_roi,target_channel,roi_prior_mu,roi_prior_sigma,roi_prior_dist
snapchat,-0.0024726859,tiktok,0.051898,0.016722,Normal
tiktok,0.046701733,tiktok,0.051898,0.016722,Normal
moloco,0.08407491,tiktok,0.051898,0.016722,Normal
liveintent,0.37407905,tiktok,0.051898,0.016722,Normal
beehiiv,0.28106982,tiktok,0.051898,0.016722,Normal
amazon,0.25776118,tiktok,0.051898,0.016722,Normal
meta,0.10978498,tiktok,0.051898,0.016722,LogNormal
google,0.028155982,tiktok,0.051898,0.016722,LogNormal
snapchat,0.05817325,tiktok,0.051898,0.016722,LogNormal
tiktok,1.0029459,tiktok,0.051898,0.016722,LogNormal
moloco,0.258361,tiktok,0.051898,0.016722,LogNormal
liveintent,0.21374281,tiktok,0.051898,0.016722,LogNormal
beehiiv,0.28507584,tiktok,0.051898,0.016722,LogNormal
amazon,0.8532689,tiktok,0.051898,0.016722,LogNormal
meta,-0.022320379,tiktok,0.051898,0.023411,Normal
google,-0.021960374,tiktok,0.051898,0.023411,Normal
snapchat,-0.01543836,tiktok,0.051898,0.023411,Normal
tiktok,0.03858588,tiktok,0.051898,0.023411,Normal
moloco,0.14227538,tiktok,0.051898,0.023411,Normal
liveintent,0.39111966,tiktok,0.051898,0.023411,Normal
beehiiv,0.23251387,tiktok,0.051898,0.023411,Normal
amazon,0.32077304,tiktok,0.051898,0.023411,Normal
meta,0.092978604,tiktok,0.051898,0.023411,LogNormal
google,0.028314466,tiktok,0.051898,0.023411,LogNormal
snapchat,0.06349008,tiktok,0.051898,0.023411,LogNormal
tiktok,0.9712287,tiktok,0.051898,0.023411,LogNormal
moloco,0.23132236,tiktok,0.051898,0.023411,LogNormal
liveintent,0.22987852,tiktok,0.051898,0.023411,LogNormal
beehiiv,0.3240485,tiktok,0.051898,0.023411,LogNormal
amazon,0.7600875,tiktok,0.051898,0.023411,LogNormal
meta,-0.009446861,tiktok,0.051898,0.033445,Normal
google,-0.01572932,tiktok,0.051898,0.033445,Normal
snapchat,-0.007839339,tiktok,0.051898,0.033445,Normal
tiktok,0.03327272,tiktok,0.051898,0.033445,Normal
moloco,0.09351547,tiktok,0.051898,0.033445,Normal
liveintent,0.26141384,tiktok,0.051898,0.033445,Normal
beehiiv,0.23038319,tiktok,0.051898,0.033445,Normal
amazon,0.20993157,tiktok,0.051898,0.033445,Normal
