channel,estimated_roi,target_channel,roi_prior_mu,roi_prior_sigma,roi_prior_dist
liveintent,1.0325098,liveintent,0.051898,0.023411,LogNormal
beehiiv,0.3541698,liveintent,0.051898,0.023411,LogNormal
amazon,0.7543658,liveintent,0.051898,0.023411,LogNormal
meta,-0.070558205,liveintent,0.051898,0.033445,Normal
google,-0.029810214,liveintent,0.051898,0.033445,Normal
snapchat,0.07741871,liveintent,0.051898,0.033445,Normal
tiktok,-0.022038683,liveintent,0.051898,0.033445,Normal
moloco,0.11891601,liveintent,0.051898,0.033445,Normal
liveintent,0.051219612,liveintent,0.051898,0.033445,Normal
beehiiv,0.26738873,liveintent,0.051898,0.033445,Normal
amazon,0.3522799,liveintent,0.051898,0.033445,Normal
meta,0.08462754,liveintent,0.051898,0.033445,LogNormal
google,0.034989502,liveintent,0.051898,0.033445,LogNormal
snapchat,0.06432305,liveintent,0.051898,0.033445,LogNormal
tiktok,0.119007505,liveintent,0.051898,0.033445,LogNormal
moloco,0.23929217,liveintent,0.051898,0.033445,LogNormal
liveintent,1.0270369,liveintent,0.051898,0.033445,LogNormal
beehiiv,0.341712,liveintent,0.051898,0.033445,LogNormal
amazon,0.7614086,liveintent,0.051898,0.033445,LogNormal
meta,-0.04253854,liveintent,0.072657,0.006689,Normal
google,-0.0017534647,liveintent,0.072657,0.006689,Normal
snapchat,0.009824431,liveintent,0.072657,0.006689,Normal
tiktok,-0.06813962,liveintent,0.072657,0.006689,Normal
moloco,0.10398275,liveintent,0.072657,0.006689,Normal
liveintent,0.07266345,liveintent,0.072657,0.006689,Normal
beehiiv,0.31524372,liveintent,0.072657,0.006689,Normal
amazon,0.3094769,liveintent,0.072657,0.006689,Normal
meta,0.07951065,liveintent,0.072657,0.006689,LogNormal
google,0.039624635,liveintent,0.072657,0.006689,LogNormal
snapchat,0.07281322,liveintent,0.072657,0.006689,LogNormal
tiktok,0.11229322,liveintent,0.072657,0.006689,LogNormal
moloco,0.23800507,liveintent,0.072657,0.006689,LogNormal
liveintent,1.0700611,liveintent,0.072657,0.006689,LogNormal
beehiiv,0.3423728,liveintent,0.072657,0.006689,LogNormal
amazon,0.7621656,liveintent,0.072657,0.006689,LogNormal
meta,-0.052151106,liveintent,0.072657,0.011706,Normal
google,-0.011012232,liveintent,0.072657,0.011706,Normal
snapchat,0.020851448,liveintent,0.072657,0.011706,Normal
tiktok,-0.060259223,liveintent,0.072657,0.011706,Normal
moloco,0.07311327,liveintent,0.072657,0.011706,Normal
liveintent,0.07417923,liveintent,0.072657,0.011706,Normal
beehiiv,0.41917014,liveintent,0.072657,0.011706,Normal
amazon,0.3738492,liveintent,0.072657,0.011706,Normal
meta,0.0823768,liveintent,0.072657,0.011706,LogNormal
google,0.034441695,liveintent,0.072657,0.011706,LogNormal
snapchat,0.0643689,liveintent,0.072657,0.011706,LogNormal
tiktok,0.1198798,liveintent,0.072657,0.011706,LogNormal
moloco,0.24499163,liveintent,0.072657,0.011706,LogNormal
liveintent,1.0741633,liveintent,0.072657,0.011706,LogNormal
beehiiv,0.34677452,liveintent,0.072657,0.011706,LogNormal
amazon,0.7705826,liveintent,0.072657,0.011706,LogNormal
meta,-0.048023257,liveintent,0.072657,0.016722,Normal
google,-0.006382649,liveintent,0.072657,0.016722,Normal
snapchat,0.04422577,liveintent,0.072657,0.016722,Normal
tiktok,-0.054751296,liveintent,0.072657,0.016722,Normal
moloco,0.083290234,liveintent,0.072657,0.016722,Normal
liveintent,0.07081198,liveintent,0.072657,0.016722,Normal
beehiiv,0.35860106,liveintent,0.072657,0.016722,Normal
amazon,0.35999805,liveintent,0.072657,0.016722,Normal
meta,0.08129151,liveintent,0.072657,0.016722,LogNormal
google,0.039364435,liveintent,0.072657,0.016722,LogNormal
snapchat,0.07107045,liveintent,0.072657,0.016722,LogNormal
tiktok,0.11588436,liveintent,0.072657,0.016722,LogNormal
moloco,0.2390565,liveintent,0.072657,0.016722,LogNormal
liveintent,1.0659658,liveintent,0.072657,0.016722,LogNormal
