channel,estimated_roi,target_channel,roi_prior_mu,roi_prior_sigma,roi_prior_dist
liveintent,0.47157535,google,0.051898,0.016722,LogNormal
beehiiv,0.59987515,google,0.051898,0.016722,LogNormal
amazon,1.4026281,google,0.051898,0.016722,LogNormal
meta,-0.014515345,google,0.051898,0.023411,Normal
google,0.030318413,google,0.051898,0.023411,Normal
snapchat,-0.023143739,google,0.051898,0.023411,Normal
tiktok,-0.08277114,google,0.051898,0.023411,Normal
moloco,0.026647147,google,0.051898,0.023411,Normal
liveintent,0.19876537,google,0.051898,0.023411,Normal
beehiiv,0.29868728,google,0.051898,0.023411,Normal
amazon,0.3656693,google,0.051898,0.023411,Normal
meta,0.46430787,google,0.051898,0.023411,LogNormal
google,0.98132944,google,0.051898,0.023411,LogNormal
snapchat,0.14976884,google,0.051898,0.023411,LogNormal
tiktok,0.3026243,google,0.051898,0.023411,LogNormal
moloco,0.48184258,google,0.051898,0.023411,LogNormal
liveintent,0.46338362,google,0.051898,0.023411,LogNormal
beehiiv,0.6325012,google,0.051898,0.023411,LogNormal
amazon,1.4560442,google,0.051898,0.023411,LogNormal
meta,-0.009819912,google,0.051898,0.033445,Normal
google,0.0047872,google,0.051898,0.033445,Normal
snapchat,-0.0409553,google,0.051898,0.033445,Normal
tiktok,-0.061631627,google,0.051898,0.033445,Normal
moloco,0.07301111,google,0.051898,0.033445,Normal
liveintent,0.350334,google,0.051898,0.033445,Normal
beehiiv,0.32448977,google,0.051898,0.033445,Normal
amazon,0.23214848,google,0.051898,0.033445,Normal
meta,0.42107612,google,0.051898,0.033445,LogNormal
google,0.9178507,google,0.051898,0.033445,LogNormal
snapchat,0.15829451,google,0.051898,0.033445,LogNormal
tiktok,0.28114784,google,0.051898,0.033445,LogNormal
moloco,0.5122569,google,0.051898,0.033445,LogNormal
liveintent,0.4811175,google,0.051898,0.033445,LogNormal
beehiiv,0.6736736,google,0.051898,0.033445,LogNormal
amazon,1.485368,google,0.051898,0.033445,LogNormal
meta,-0.01458586,google,0.072657,0.006689,Normal
google,0.071947835,google,0.072657,0.006689,Normal
snapchat,-0.10753824,google,0.072657,0.006689,Normal
tiktok,-0.09563462,google,0.072657,0.006689,Normal
moloco,0.06455788,google,0.072657,0.006689,Normal
liveintent,0.14070314,google,0.072657,0.006689,Normal
beehiiv,0.260228,google,0.072657,0.006689,Normal
amazon,0.24800181,google,0.072657,0.006689,Normal
meta,0.48671642,google,0.072657,0.006689,LogNormal
google,1.0686661,google,0.072657,0.006689,LogNormal
snapchat,0.14491807,google,0.072657,0.006689,LogNormal
tiktok,0.31489334,google,0.072657,0.006689,LogNormal
moloco,0.49725428,google,0.072657,0.006689,LogNormal
liveintent,0.4766089,google,0.072657,0.006689,LogNormal
beehiiv,0.63444304,google,0.072657,0.006689,LogNormal
amazon,1.4364703,google,0.072657,0.006689,LogNormal
meta,-0.0338947,google,0.072657,0.011706,Normal
google,0.06431122,google,0.072657,0.011706,Normal
snapchat,-0.093265116,google,0.072657,0.011706,Normal
tiktok,-0.110175095,google,0.072657,0.011706,Normal
moloco,0.10069682,google,0.072657,0.011706,Normal
liveintent,0.17755559,google,0.072657,0.011706,Normal
beehiiv,0.25037852,google,0.072657,0.011706,Normal
amazon,0.27851447,google,0.072657,0.011706,Normal
meta,0.45359668,google,0.072657,0.011706,LogNormal
google,1.0570563,google,0.072657,0.011706,LogNormal
snapchat,0.14500317,google,0.072657,0.011706,LogNormal
tiktok,0.31263462,google,0.072657,0.011706,LogNormal
moloco,0.5017592,google,0.072657,0.011706,LogNormal
liveintent,0.49032274,google,0.072657,0.011706,LogNormal
beehiiv,0.6256672,google,0.072657,0.011706,LogNormal
amazon,1.4422982,google,0.072657,0.011706,LogNormal
meta,-0.011673979,google,0.072657,0.016722,Normal
google,0.060340006,google,0.072657,0.016722,Normal
snapchat,-0.086284816,google,0.072657,0.016722,Normal
tiktok,-0.08439714,google,0.072657,0.016722,Normal
moloco,0.085476495,google,0.072657,0.016722,Normal
liveintent,0.1745232,google,0.072657,0.016722,Normal
beehiiv,0.124114454,google,0.072657,0.016722,Normal
amazon,0.12662123,google,0.072657,0.016722,Normal
meta,0.4384694,google,0.072657,0.016722,LogNormal
google,1.0344746,google,0.072657,0.016722,LogNormal
snapchat,0.15870214,google,0.072657,0.016722,LogNormal
tiktok,0.29726395,google,0.072657,0.016722,LogNormal
moloco,0.45593053,google,0.072657,0.016722,LogNormal
liveintent,0.46218887,google,0.072657,0.016722,LogNormal
beehiiv,0.6911284,google,0.072657,0.016722,LogNormal
amazon,1.4478257,google,0.072657,0.016722,LogNormal
meta,-0.040466163,google,0.072657,0.023411,Normal
google,0.047645412,google,0.072657,0.023411,Normal
snapchat,-0.038028393,google,0.072657,0.023411,Normal
tiktok,-0.06648944,google,0.072657,0.023411,Normal
moloco,0.10225414,google,0.072657,0.023411,Normal
liveintent,0.11349448,google,0.072657,0.023411,Normal
beehiiv,0.26706618,google,0.072657,0.023411,Normal
amazon,0.26893085,google,0.072657,0.023411,Normal
meta,0.45636553,google,0.072657,0.023411,LogNormal
google,0.9988745,google,0.072657,0.023411,LogNormal
snapchat,0.13992253,google,0.072657,0.023411,LogNormal
tiktok,0.3066008,google,0.072657,0.023411,LogNormal
moloco,0.5064914,google,0.072657,0.023411,LogNormal
liveintent,0.47027463,google,0.072657,0.023411,LogNormal
beehiiv,0.599381,google,0.072657,0.023411,LogNormal
amazon,1.3507369,google,0.072657,0.023411,LogNormal
meta,-0.052147668,google,0.072657,0.033445,Normal
google,0.0068551004,google,0.072657,0.033445,Normal
snapchat,-5.0864553e-05,google,0.072657,0.033445,Normal
tiktok,-0.058333416,google,0.072657,0.033445,Normal
moloco,0.10143409,google,0.072657,0.033445,Normal
liveintent,0.3162052,google,0.072657,0.033445,Normal
beehiiv,0.14331837,google,0.072657,0.033445,Normal
amazon,0.35393476,google,0.072657,0.033445,Normal
meta,0.45072132,google,0.072657,0.033445,LogNormal
google,0.9328588,google,0.072657,0.033445,LogNormal
snapchat,0.13753729,google,0.072657,0.033445,LogNormal
tiktok,0.30586854,google,0.072657,0.033445,LogNormal
moloco,0.4884778,google,0.072657,0.033445,LogNormal
liveintent,0.4660203,google,0.072657,0.033445,LogNormal
beehiiv,0.5954311,google,0.072657,0.033445,LogNormal
amazon,1.4402883,google,0.072657,0.033445,LogNormal
meta,-0.019323856,google,0.103795,0.006689,Normal
google,0.10081311,google,0.103795,0.006689,Normal
snapchat,-0.122831605,google,0.103795,0.006689,Normal
tiktok,-0.13490613,google,0.103795,0.006689,Normal
moloco,0.07563034,google,0.103795,0.006689,Normal
liveintent,-0.052551568,google,0.103795,0.006689,Normal
beehiiv,0.31420332,google,0.103795,0.006689,Normal
amazon,0.17904902,google,0.103795,0.006689,Normal
meta,0.4777208,google,0.103795,0.006689,LogNormal
google,1.1021802,google,0.103795,0.006689,LogNormal
snapchat,0.13731417,google,0.103795,0.006689,LogNormal
tiktok,0.31586486,google,0.103795,0.006689,LogNormal
moloco,0.49068627,google,0.103795,0.006689,LogNormal
liveintent,0.49187475,google,0.103795,0.006689,LogNormal
beehiiv,0.618344,google,0.103795,0.006689,LogNormal
amazon,1.4141325,google,0.103795,0.006689,LogNormal
meta,0.0010581769,google,0.103795,0.011706,Normal
google,0.100300625,google,0.103795,0.011706,Normal
snapchat,-0.12996784,google,0.103795,0.011706,Normal
tiktok,-0.10985432,google,0.103795,0.011706,Normal
moloco,0.015737003,google,0.103795,0.011706,Normal
liveintent,0.019242302,google,0.103795,0.011706,Normal
beehiiv,0.20952623,google,0.103795,0.011706,Normal
amazon,0.2614413,google,0.103795,0.011706,Normal
meta,0.48955923,google,0.103795,0.011706,LogNormal
google,1.0887845,google,0.103795,0.011706,LogNormal
snapchat,0.15022059,google,0.103795,0.011706,LogNormal
tiktok,0.30770856,google,0.103795,0.011706,LogNormal
moloco,0.48350024,google,0.103795,0.011706,LogNormal
liveintent,0.477472,google,0.103795,0.011706,LogNormal
beehiiv,0.61729395,google,0.103795,0.011706,LogNormal
amazon,1.4319842,google,0.103795,0.011706,LogNormal
meta,-0.0054146936,google,0.103795,0.016722,Normal
google,0.09354301,google,0.103795,0.016722,Normal
snapchat,-0.11911545,google,0.103795,0.016722,Normal
tiktok,-0.11424784,google,0.103795,0.016722,Normal
moloco,0.06466018,google,0.103795,0.016722,Normal
liveintent,0.041758824,google,0.103795,0.016722,Normal
beehiiv,0.08896464,google,0.103795,0.016722,Normal
amazon,0.17926505,google,0.103795,0.016722,Normal
meta,0.46665564,google,0.103795,0.016722,LogNormal
google,1.0678349,google,0.103795,0.016722,LogNormal
snapchat,0.1434646,google,0.103795,0.016722,LogNormal
tiktok,0.31069702,google,0.103795,0.016722,LogNormal
moloco,0.48769087,google,0.103795,0.016722,LogNormal
liveintent,0.4992485,google,0.103795,0.016722,LogNormal
beehiiv,0.609177,google,0.103795,0.016722,LogNormal
amazon,1.4167684,google,0.103795,0.016722,LogNormal
meta,-0.0029608798,google,0.103795,0.023411,Normal
google,0.08430462,google,0.103795,0.023411,Normal
snapchat,-0.07411857,google,0.103795,0.023411,Normal
tiktok,-0.07901927,google,0.103795,0.023411,Normal
moloco,0.09056818,google,0.103795,0.023411,Normal
liveintent,-0.08735041,google,0.103795,0.023411,Normal
beehiiv,0.112838075,google,0.103795,0.023411,Normal
amazon,0.16362631,google,0.103795,0.023411,Normal
meta,0.46717262,google,0.103795,0.023411,LogNormal
google,1.0301703,google,0.103795,0.023411,LogNormal
snapchat,0.15540774,google,0.103795,0.023411,LogNormal
tiktok,0.307363,google,0.103795,0.023411,LogNormal
moloco,0.5089684,google,0.103795,0.023411,LogNormal
liveintent,0.46490732,google,0.103795,0.023411,LogNormal
beehiiv,0.666302,google,0.103795,0.023411,LogNormal
amazon,1.4898458,google,0.103795,0.023411,LogNormal
meta,-0.03979319,google,0.103795,0.033445,Normal
google,0.03480726,google,0.103795,0.033445,Normal
snapchat,-0.03010779,google,0.103795,0.033445,Normal
tiktok,-0.096744545,google,0.103795,0.033445,Normal
moloco,0.064705834,google,0.103795,0.033445,Normal
liveintent,0.25678426,google,0.103795,0.033445,Normal
beehiiv,0.25264513,google,0.103795,0.033445,Normal
amazon,0.27168974,google,0.103795,0.033445,Normal
meta,0.4790508,google,0.103795,0.033445,LogNormal
google,0.961826,google,0.103795,0.033445,LogNormal
snapchat,0.14546321,google,0.103795,0.033445,LogNormal
tiktok,0.3024972,google,0.103795,0.033445,LogNormal
moloco,0.4923953,google,0.103795,0.033445,LogNormal
liveintent,0.4594884,google,0.103795,0.033445,LogNormal
beehiiv,0.6044339,google,0.103795,0.033445,LogNormal
amazon,1.4627887,google,0.103795,0.033445,LogNormal
