channel,target_channel,roi_prior_mu,roi_prior_sigma,roi_prior_dist,estimated_roi,baseline_mu,baseline_sigma,baseline_roi,pct_change,abs_pct_change
amazon,"google,meta,moloco",0.051898,0.033445,LogNormal,1.509322,0.051898,0.016722,1.4225322,6.1010780634702,6.1010780634702
meta,"google,meta,moloco",0.103795,0.006689,Normal,0.10076485,0.051898,0.016722,0.12061889,-16.460141525096113,16.460141525096113
google,"google,meta,moloco",0.103795,0.006689,Normal,0.10189037,0.051898,0.016722,0.12061889,-15.52702068473687,15.52702068473687
snapchat,"google,meta,moloco",0.103795,0.006689,Normal,-0.14983621,0.051898,0.016722,0.12061889,-224.22283939107712,224.22283939107712
tiktok,"google,meta,moloco",0.103795,0.006689,Normal,-0.06613699,0.051898,0.016722,0.12061889,-154.83137011126533,154.83137011126533
moloco,"google,meta,moloco",0.103795,0.006689,Normal,0.10337531,0.051898,0.016722,0.12061889,-14.295919984009146,14.295919984009146
liveintent,"google,meta,moloco",0.103795,0.006689,Normal,-0.17066896,0.051898,0.016722,0.12061889,-241.494387819354,241.494387819354
beehiiv,"google,meta,moloco",0.103795,0.006689,Normal,0.22274344,0.051898,0.016722,0.12061889,84.66712800955139,84.66712800955139
amazon,"google,meta,moloco",0.103795,0.006689,Normal,-0.054310445,0.051898,0.016722,0.12061889,-145.02648382852803,145.02648382852803
meta,"google,meta,moloco",0.103795,0.006689,LogNormal,1.1092556,0.051898,0.016722,1.4225322,-22.022461073288888,22.022461073288888
google,"google,meta,moloco",0.103795,0.006689,LogNormal,1.1027772,0.051898,0.016722,1.4225322,-22.477874314549787,22.477874314549787
snapchat,"google,meta,moloco",0.103795,0.006689,LogNormal,0.1707902,0.051898,0.016722,1.4225322,-87.99393082279614,87.99393082279614
tiktok,"google,meta,moloco",0.103795,0.006689,LogNormal,0.3017854,0.051898,0.016722,1.4225322,-78.78533786440828,78.78533786440828
moloco,"google,meta,moloco",0.103795,0.006689,LogNormal,1.1087843,0.051898,0.016722,1.4225322,-22.05559213352078,22.05559213352078
liveintent,"google,meta,moloco",0.103795,0.006689,LogNormal,0.5038955,0.051898,0.016722,1.4225322,-64.57756808598076,64.57756808598076
beehiiv,"google,meta,moloco",0.103795,0.006689,LogNormal,0.72019905,0.051898,0.016722,1.4225322,-49.37203881922673,49.37203881922673
amazon,"google,meta,moloco",0.103795,0.006689,LogNormal,1.4661058,0.051898,0.016722,1.4225322,3.0631011375348827,3.0631011375348827
meta,"google,meta,moloco",0.103795,0.016722,Normal,0.08408176,0.051898,0.016722,0.12061889,-30.291383049537266,30.291383049537266
google,"google,meta,moloco",0.103795,0.016722,Normal,0.08903988,0.051898,0.016722,0.12061889,-26.180816288393967,26.180816288393967
snapchat,"google,meta,moloco",0.103795,0.016722,Normal,-0.13312508,0.051898,0.016722,0.12061889,-210.36835109326577,210.36835109326577
tiktok,"google,meta,moloco",0.103795,0.016722,Normal,-0.07736483,0.051898,0.016722,0.12061889,-164.13989550061353,164.13989550061353
