channel,estimated_roi,target_channel,roi_prior_mu,roi_prior_sigma,roi_prior_dist,is_baseline,targets,prior_key,roi_prior_overrides_json
google,-0.00815084,"meta,tiktok",0.036328,0.023411,Normal,False,"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.023411}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.023411}}","{""meta"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.023411}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.023411}}"
snapchat,-0.028747529,"meta,tiktok",0.036328,0.023411,Normal,False,"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.023411}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.023411}}","{""meta"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.023411}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.023411}}"
tiktok,0.018729951,"meta,tiktok",0.036328,0.023411,Normal,False,"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.023411}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.023411}}","{""meta"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.023411}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.023411}}"
moloco,0.12213434,"meta,tiktok",0.036328,0.023411,Normal,False,"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.023411}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.023411}}","{""meta"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.023411}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.023411}}"
liveintent,0.2503307,"meta,tiktok",0.036328,0.023411,Normal,False,"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.023411}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.023411}}","{""meta"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.023411}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.023411}}"
beehiiv,0.27492642,"meta,tiktok",0.036328,0.023411,Normal,False,"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.023411}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.023411}}","{""meta"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.023411}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.023411}}"
amazon,0.15252051,"meta,tiktok",0.036328,0.023411,Normal,False,"meta,tiktok","{""meta"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.023411}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.023411}}","{""meta"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.023411}, ""tiktok"": {""dist"": ""Normal"", ""mu"": 0.036328, ""sigma"": 0.023411}}"
meta,1.0215431,"meta,tiktok",0.036328,0.023411,LogNormal,False,"meta,tiktok","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.023411}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.023411}}","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.023411}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.023411}}"
google,0.057555676,"meta,tiktok",0.036328,0.023411,LogNormal,False,"meta,tiktok","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.023411}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.023411}}","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.023411}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.023411}}"
snapchat,0.10431534,"meta,tiktok",0.036328,0.023411,LogNormal,False,"meta,tiktok","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.023411}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.023411}}","{""meta"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.023411}, ""tiktok"": {""dist"": ""LogNormal"", ""mu"": 0.036328, ""sigma"": 0.023411}}"
